idx,task,annotation,raw_output
1305,Scroll up on the screen to read the whole article.,"{'episode_id': 2814, 'goal': 'Read any news article of your choice on The Deccan Herald News app.', 'step_instruction': 'Scroll up on the screen to read the whole article.', 'action': {'action_type': 'scroll', 'app_name': None, 'direction': 'down', 'text': None, 'x': None, 'y': None}}","{""coordinate"":null,""action_type"":""scroll"",""text"":null,""custom_action"":{""action"":""scroll"",""params"":{""direction"":""up""}},""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""Scroll up to read the entire article content.\"",\""action\"":{\""action\"":\""scroll\"",\""direction\"":\""up\""}}""}}"
1306,Scroll up on the screen to read the whole article.,"{'episode_id': 2814, 'goal': 'Read any news article of your choice on The Deccan Herald News app.', 'step_instruction': 'Scroll up on the screen to read the whole article.', 'action': {'action_type': 'scroll', 'app_name': None, 'direction': 'down', 'text': None, 'x': None, 'y': None}}","{""coordinate"":null,""action_type"":""scroll"",""text"":null,""custom_action"":{""action"":""scroll"",""params"":{""direction"":""up""}},""raw"":{""content"":""{\""note\"":\""Article discusses carbon removal to limit global warming to 1.5°C under Paris Agreement, requires capturing 1 million tons CO2 by 2030, and mentions Energy Department's announcement as a big deal in carbon removal world.\"",\""thought\"":\""The article provides key details about carbon removal targets and industry developments. I should scroll up to read the earlier sections of the article for a complete understanding.\"",\""action\"":{\""action\"":\""scroll\"",\""direction\"":\""up\""}}""}}"
1307,Go back to the screen,"{'episode_id': 2822, 'goal': 'I want to shop by brand Febonic because this brand is very perfect to buy any furniture', 'step_instruction': 'Go back to the screen', 'action': {'action_type': 'navigate_back', 'app_name': None, 'direction': None, 'text': None, 'x': None, 'y': None}}","{""coordinate"":null,""action_type"":""go_back"",""text"":null,""custom_action"":{""action"":""go_back"",""params"":null},""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""\"",\""action\"":{\""action\"":\""go_back\""}}""}}"
1308,Click on the Filter icon,"{'episode_id': 2822, 'goal': 'I want to shop by brand Febonic because this brand is very perfect to buy any furniture', 'step_instruction': 'Click on the Filter icon', 'action': {'action_type': 'click', 'app_name': None, 'direction': None, 'text': None, 'x': 901.0, 'y': 332.0}}","{""coordinate"":[0.796,0.123],""action_type"":""click"",""text"":null,""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""\"",\""action\"":{\""action\"":\""click_element\"",\""element\"":\""Filter icon\"",\""x\"":796,\""y\"":123}}""}}"
1309,Click on the brand option ,"{'episode_id': 2822, 'goal': 'I want to shop by brand Febonic because this brand is very perfect to buy any furniture', 'step_instruction': 'Click on the brand option ', 'action': {'action_type': 'click', 'app_name': None, 'direction': None, 'text': None, 'x': 847.0, 'y': 401.0}}","{""coordinate"":[0.376,0.172],""action_type"":""click"",""text"":null,""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""\"",\""action\"":{\""action\"":\""click_element\"",\""element\"":\""brand option\"",\""x\"":376,\""y\"":172}}""}}"
1310,Click on the Febonic option ,"{'episode_id': 2822, 'goal': 'I want to shop by brand Febonic because this brand is very perfect to buy any furniture', 'step_instruction': 'Click on the Febonic option ', 'action': {'action_type': 'click', 'app_name': None, 'direction': None, 'text': None, 'x': 136.0, 'y': 902.0}}","{""coordinate"":[0.228,0.375],""action_type"":""click"",""text"":null,""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""Click on the Febonic option\"",\""action\"":{\""action\"":\""click_element\"",\""element\"":\""Febonic option\"",\""x\"":228,\""y\"":375}}""}}"
1311,Open the Artsy app,"{'episode_id': 2836, 'goal': 'Open the Artsy app and search for art by Aimee Mandala.', 'step_instruction': 'Open the Artsy app', 'action': {'action_type': 'open_app', 'app_name': 'Artsy', 'direction': None, 'text': None, 'x': None, 'y': None}}","{""coordinate"":null,""action_type"":null,""text"":null,""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""\"",\""action\"":{\""action\"":\""launch_app\"",\""packageName\"":\""Artsy\""}}""}}"
1312,Click on the search icon at the bottom of the screen,"{'episode_id': 2836, 'goal': 'Open the Artsy app and search for art by Aimee Mandala.', 'step_instruction': 'Click on the search icon at the bottom of the screen', 'action': {'action_type': 'click', 'app_name': None, 'direction': None, 'text': None, 'x': 334.0, 'y': 2268.0}}","{""coordinate"":[0.309,0.944],""action_type"":""click"",""text"":null,""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""The search icon is located at the bottom of the screen and needs to be clicked to initiate a search function.\"",\""action\"":{\""action\"":\""click_element\"",\""element\"":\""search icon\"",\""x\"":309,\""y\"":944}}""}}"
1313,search for Aimee Mandala ,"{'episode_id': 2836, 'goal': 'Open the Artsy app and search for art by Aimee Mandala.', 'step_instruction': 'search for Aimee Mandala ', 'action': {'action_type': 'input_text', 'app_name': None, 'direction': None, 'text': 'Aimee Mandala', 'x': None, 'y': None}}","{""coordinate"":[0.538,0.1],""action_type"":""write"",""text"":""Aimee Mandala"",""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""\"",\""action\"":{\""action\"":\""write_element_abs\"",\""content\"":\""Aimee Mandala\"",\""element\"":\""Search bar\"",\""x\"":538,\""y\"":100}}""}}"
1314,Click on the first result,"{'episode_id': 2836, 'goal': 'Open the Artsy app and search for art by Aimee Mandala.', 'step_instruction': 'Click on the first result', 'action': {'action_type': 'click', 'app_name': None, 'direction': None, 'text': None, 'x': 540.0, 'y': 632.0}}","{""coordinate"":[0.109,0.232],""action_type"":""click"",""text"":null,""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""\"",\""action\"":{\""action\"":\""click_element\"",\""element\"":\""click on the first result\"",\""x\"":109,\""y\"":232}}""}}"
1315,Open the Google News app,"{'episode_id': 2856, 'goal': 'In the Google news app, view the news in the World category and open the first article.', 'step_instruction': 'Open the Google News app', 'action': {'action_type': 'open_app', 'app_name': 'Google News', 'direction': None, 'text': None, 'x': None, 'y': None}}","{""coordinate"":[0.327,0.276],""action_type"":""click"",""text"":null,""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""\"",\""action\"":{\""action\"":\""click_element\"",\""element\"":\""Open the Google News app\"",\""x\"":327,\""y\"":276}}""}}"
1316,Go to the Headlines section,"{'episode_id': 2856, 'goal': 'In the Google news app, view the news in the World category and open the first article.', 'step_instruction': 'Go to the Headlines section', 'action': {'action_type': 'click', 'app_name': None, 'direction': None, 'text': None, 'x': 429.0, 'y': 2278.0}}","{""coordinate"":[0.375,0.957],""action_type"":""click"",""text"":null,""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""Clicking on the 'Headlines' section to explore the latest news stories.\"",\""action\"":{\""action\"":\""click_element\"",\""element\"":\""Headlines section link\"",\""x\"":375,\""y\"":957}}""}}"
1317,Click on the World category,"{'episode_id': 2856, 'goal': 'In the Google news app, view the news in the World category and open the first article.', 'step_instruction': 'Click on the World category', 'action': {'action_type': 'click', 'app_name': None, 'direction': None, 'text': None, 'x': 480.0, 'y': 366.0}}","{""coordinate"":[0.445,0.152],""action_type"":""click"",""text"":null,""custom_action"":null,""raw"":{""content"":""{\""thought\"":\""Click on the World tab\"",\""action\"":{\""action\"":\""click_element\"",\""element\"":\""World tab\"",\""x\"":445,\""y\"":152}}""}}"
1318,Open the first article news,"{'episode_id': 2856, 'goal': 'In the Google news app, view the news in the World category and open the first article.', 'step_instruction': 'Open the first article news', 'action': {'action_type': 'click', 'app_name': None, 'direction': None, 'text': None, 'x': 540.0, 'y': 1214.0}}","{""coordinate"":[0.5,0.495],""action_type"":""click"",""text"":null,""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""I need to open the first news article related to Imran Khan as the headline suggests it's about his sentencing details.\"",\""action\"":{\""action\"":\""click_element\"",\""element\"":\""News headline 'Imran Khan Ready To Spend Rest Of His Life In Prison, Says Lawyer' from NDTV\"",\""x\"":500,\""y\"":495}}""}}"
1319,go back,"{'episode_id': 2860, 'goal': 'I want to see the shoes from the Nike brand.', 'step_instruction': 'go back', 'action': {'action_type': 'navigate_back', 'app_name': None, 'direction': None, 'text': None, 'x': None, 'y': None}}","{""coordinate"":null,""action_type"":""go_back"",""text"":null,""custom_action"":{""action"":""go_back"",""params"":null},""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""\"",\""action\"":{\""action\"":\""go_back\""}}""}}"
1320,go back again,"{'episode_id': 2860, 'goal': 'I want to see the shoes from the Nike brand.', 'step_instruction': 'go back again', 'action': {'action_type': 'navigate_back', 'app_name': None, 'direction': None, 'text': None, 'x': None, 'y': None}}","{""coordinate"":null,""action_type"":""go_back"",""text"":null,""custom_action"":{""action"":""go_back"",""params"":null},""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""\"",\""action\"":{\""action\"":\""go_back\""}}""}}"
1321,click on the filter option,"{'episode_id': 2860, 'goal': 'I want to see the shoes from the Nike brand.', 'step_instruction': 'click on the filter option', 'action': {'action_type': 'click', 'app_name': None, 'direction': None, 'text': None, 'x': 407.0, 'y': 367.0}}","{""coordinate"":[0.602,0.087],""action_type"":""click"",""text"":null,""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""\"",\""action\"":{\""action\"":\""click_element\"",\""element\"":\""element located at the top of the screen\"",\""x\"":602,\""y\"":87}}""}}"
1322,click on the brand section,"{'episode_id': 2860, 'goal': 'I want to see the shoes from the Nike brand.', 'step_instruction': 'click on the brand section', 'action': {'action_type': 'click', 'app_name': None, 'direction': None, 'text': None, 'x': 179.0, 'y': 503.0}}","{""coordinate"":[0.187,0.209],""action_type"":""click"",""text"":null,""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""\"",\""action\"":{\""action\"":\""click_element\"",\""element\"":\""element located at the left side\"",\""x\"":187,\""y\"":209}}""}}"
1323,select the NIke brand,"{'episode_id': 2860, 'goal': 'I want to see the shoes from the Nike brand.', 'step_instruction': 'select the NIke brand', 'action': {'action_type': 'click', 'app_name': None, 'direction': None, 'text': None, 'x': 768.0, 'y': 855.0}}","{""coordinate"":[0.512,0.354],""action_type"":""click"",""text"":null,""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""\"",\""action\"":{\""action\"":\""click_element\"",\""element\"":\""NIke brand filter\"",\""x\"":512,\""y\"":354}}""}}"
1324,click on the Apply button,"{'episode_id': 2860, 'goal': 'I want to see the shoes from the Nike brand.', 'step_instruction': 'click on the Apply button', 'action': {'action_type': 'click', 'app_name': None, 'direction': None, 'text': None, 'x': 740.0, 'y': 2283.0}}","{""coordinate"":[0.771,0.94],""action_type"":""click"",""text"":null,""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""\"",\""action\"":{\""action\"":\""click_element\"",\""element\"":\""Apply button\"",\""x\"":771,\""y\"":940}}""}}"
1325,click on the Player section,"{'episode_id': 2862, 'goal': ""I'd like to change the title of the Recording 2 file to Audio 1."", 'step_instruction': 'click on the Player section', 'action': {'action_type': 'click', 'app_name': None, 'direction': None, 'text': None, 'x': 555.0, 'y': 252.0}}","{""coordinate"":[0.5,0.097],""action_type"":""click"",""text"":null,""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""\"",\""action\"":{\""action\"":\""click_element\"",\""element\"":\""Player\"",\""x\"":500,\""y\"":97}}""}}"
1326,click on three dots of Recording 2,"{'episode_id': 2862, 'goal': ""I'd like to change the title of the Recording 2 file to Audio 1."", 'step_instruction': 'click on three dots of Recording 2', 'action': {'action_type': 'click', 'app_name': None, 'direction': None, 'text': None, 'x': 969.0, 'y': 474.0}}","{""coordinate"":[0.783,0.194],""action_type"":""click"",""text"":null,""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""\"",\""action\"":{\""action\"":\""click_element\"",\""element\"":\""Recording_2\"",\""x\"":783,\""y\"":194}}""}}"
1327,click on Rename,"{'episode_id': 2862, 'goal': ""I'd like to change the title of the Recording 2 file to Audio 1."", 'step_instruction': 'click on Rename', 'action': {'action_type': 'click', 'app_name': None, 'direction': None, 'text': None, 'x': 540.0, 'y': 1168.0}}","{""coordinate"":[0.167,0.489],""action_type"":""click"",""text"":null,""custom_action"":null,""raw"":{""content"":""{\""note\"":\""\"",\""thought\"":\""\"",\""action\"":{\""action\"":\""click_element\"",\""element\"":\""Rename option in the pop-up menu\"",\""x\"":167,\""y\"":489}}""}}"
